Workload,Records,Threads,AvgRuntime_ms,AvgRuntime_s,Throughput_ops_sec
workloada,100000,1,66918.67,66.92,1496.56
workloadb,100000,1,13431.67,13.43,7447.6
workloadc,100000,1,7876.0,7.88,12700.87
workloadd,100000,1,13485.33,13.49,7457.28
workloade,100000,1,82054.0,82.05,1218.82
workloadf,100000,1,79157.0,79.16,1263.74
workloadg,100000,1,96819.0,96.82,1033.3
workloadh,100000,1,100488.33,100.49,995.19
workloada,100000,3,47813.0,47.81,2091.56
workloadb,100000,3,8714.0,8.71,12037.84
workloadc,100000,3,3787.0,3.79,26407.14
workloadd,100000,3,5981.67,5.98,16722.78
workloade,100000,3,58684.33,58.68,1704.15
workloadf,100000,3,46952.67,46.95,1575.56
workloadg,100000,3,37957.33,37.96,1171.22
workloadh,100000,3,19934.33,19.93,558.06
workloada,100000,6,40098.0,40.1,2494.42
workloadb,100000,6,8234.67,8.23,12446.35
workloadc,100000,6,2483.67,2.48,40328.14
workloadd,100000,6,5958.67,5.96,17758.49
workloade,100000,6,34824.67,34.82,2873.09
workloadf,100000,6,32895.0,32.9,1355.17
workloadg,100000,6,33840.0,33.84,1314.19
workloadh,100000,6,39596.33,39.6,1652.81
workloada,1000000,1,756490.0,756.49,1330.43
workloadb,1000000,1,180248.33,180.25,5565.0
workloadc,1000000,1,84123.33,84.12,11890.2
workloadd,1000000,1,142606.33,142.61,7012.49
workloade,1000000,1,4317687.0,4317.69,231.8
workloadf,1000000,1,884255.67,884.26,1131.48
workloadg,1000000,1,1490646.67,1490.65,676.75
workloadh,1000000,1,2202462.67,2202.46,455.13
workloada,1000000,3,605778.0,605.78,1650.8
workloadb,1000000,3,159028.67,159.03,6290.61
workloadc,1000000,3,68011.0,68.01,14732.47
workloadd,1000000,3,100264.0,100.26,9995.03
workloade,1000000,3,3885901.33,3885.9,257.72
workloadf,1000000,3,684813.67,684.81,1460.38
workloadg,1000000,3,717069.33,717.07,1395.54
workloadh,1000000,3,713553.33,713.55,1401.56
workloada,1000000,6,463732.67,463.73,2156.53
workloadb,1000000,6,99095.0,99.09,10109.49
workloadc,1000000,6,33425.0,33.42,29932.5
workloadd,1000000,6,92463.0,92.46,10860.0
workloade,1000000,6,1809426.33,1809.43,555.03
workloadf,1000000,6,548043.33,548.04,1824.77
workloadg,1000000,6,570892.0,570.89,1751.88
workloadh,1000000,6,590092.33,590.09,1694.8
workloada,10000000,1,12993958.67,12993.96,787.5
workloadb,10000000,1,3601569.33,3601.57,2915.81
workloadc,10000000,1,1474946.33,1474.95,6783.65
workloadd,10000000,1,2382084.67,2382.08,4198.19
